,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
International marine bunkers,1972,0,0,0,0,-15097,0,0,0,0,0,0,0,0,0,-15097,0,0,-15097,0
International marine bunkers,1973,0,0,0,0,-17654,0,0,0,0,0,0,0,0,0,-17654,0,0,-17654,0
International marine bunkers,1974,0,0,0,0,-18081,0,0,0,0,0,0,0,0,0,-18081,0,0,-18081,0
International marine bunkers,1975,0,0,0,0,-20091,0,0,0,0,0,0,0,0,0,-20091,0,0,-20091,0
International marine bunkers,1976,0,0,0,0,-15798,0,0,0,0,0,0,0,0,0,-15798,0,0,-15798,0
International marine bunkers,1977,0,0,0,0,-14365,0,0,0,0,0,0,0,0,0,-14365,0,0,-14365,0
International marine bunkers,1978,0,0,0,0,-12879,0,0,0,0,0,0,0,0,0,-12879,0,0,-12879,0
International marine bunkers,1979,0,0,0,0,-13258,0,0,0,0,0,0,0,0,0,-13258,0,0,-13258,0
International marine bunkers,1980,0,0,0,0,-12191,0,0,0,0,0,0,0,0,0,-12191,0,0,-12191,0
International marine bunkers,1981,0,0,0,0,-11188,0,0,0,0,0,0,0,0,0,-11188,0,0,-11188,0
International marine bunkers,1982,0,0,0,0,-8024,0,0,0,0,0,0,0,0,0,-8024,0,0,-8024,0
International marine bunkers,1983,0,0,0,0,-7346,0,0,0,0,0,0,0,0,0,-7346,0,0,-7346,0
International marine bunkers,1984,0,0,0,0,-7550,0,0,0,0,0,0,0,0,0,-7550,0,0,-7550,0
International marine bunkers,1985,0,0,0,0,-7508,0,0,0,0,0,0,0,0,0,-7508,0,0,-7508,0
International marine bunkers,1986,0,0,0,0,-6078,0,0,0,0,0,0,0,0,0,-6078,0,0,-6078,0
International marine bunkers,1987,0,0,0,0,-5457,0,0,0,0,0,0,0,0,0,-5457,0,0,-5457,0
International marine bunkers,1988,0,0,0,0,-4928,0,0,0,0,0,0,0,0,0,-4928,0,0,-4928,0
International marine bunkers,1989,0,0,0,0,-5136,0,0,0,0,0,0,0,0,0,-5136,0,0,-5136,0
International marine bunkers,1990,0,0,0,0,-5543,0,0,0,0,0,0,0,0,0,-5543,0,0,-5543,0
